Topic,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer
"The Avengers (MCU)","What is Iron Man's real name?","Tony Stark","Bruce Wayne","Peter Parker","Steve Rogers","Tony Stark"
"The Avengers (MCU)","What is Captain America's shield made of?","Steel","Vibranium","Titanium","Iron","Vibranium"
"The Avengers (MCU)","What color is the Hulk?","Blue","Red","Green","Purple","Green"
"The Avengers (MCU)","What is Thor's hammer called?","Mjolnir","Excalibur","Stormbreaker","Thunderstrike","Mjolnir"
"The Avengers (MCU)","Which Avenger uses a bow and arrow?","Iron Man","Hawkeye","Black Widow","Hulk","Hawkeye"
"The Avengers (MCU)","What is Black Widow's real first name?","Natasha","Wanda","Pepper","Maria","Natasha"
"The Avengers (MCU)","Who is the God of Mischief?","Thor","Odin","Loki","Thanos","Loki"
"The Avengers (MCU)","What does Spider-Man shoot from his wrists?","Water","Webs","Ropes","Lasers","Webs"
"Animals","What is the largest land animal?","Giraffe","Rhino","Elephant","Hippo","Elephant"
"Animals","What do pandas eat?","Fish","Bamboo","Meat","Berries","Bamboo"
"Animals","How many legs does a spider have?","6","8","10","12","8"
"Animals","What is a baby kangaroo called?","Cub","Joey","Pup","Kit","Joey"
"Animals","What is the fastest land animal?","Lion","Cheetah","Horse","Leopard","Cheetah"
"Animals","Which animal is known for its black and white stripes?","Tiger","Panda","Zebra","Skunk","Zebra"
"Animals","What do bees make?","Milk","Honey","Butter","Jam","Honey"
"Animals","Which animal has a long trunk?","Rhino","Giraffe","Elephant","Hippo","Elephant"
"Sports Cars","Which car brand has a prancing horse logo?","Lamborghini","Porsche","Ferrari","Bugatti","Ferrari"
"Sports Cars","What does BMW stand for?","British Motor Works","Bavarian Motor Works","Best Motor Wheels","Big Motor Works","Bavarian Motor Works"
"Sports Cars","Which country is Lamborghini from?","Germany","Italy","France","Japan","Italy"
"Sports Cars","What animal is on the Porsche logo?","Lion","Bull","Horse","Eagle","Horse"
"Sports Cars","Which sports car is known for its gull-wing doors?","Ferrari","DeLorean","Corvette","Mustang","DeLorean"
"Sports Cars","What color is often associated with Ferrari?","Blue","Yellow","Red","Black","Red"
"Sports Cars","Which car company makes the Mustang?","Chevrolet","Dodge","Tesla","Ford","Ford"
"Sports Cars","What does GT stand for in car names?","Great Turbo","Grand Touring","Giant Tires","Good Traction","Grand Touring"
"The Ocean","What is the largest ocean on Earth?","Atlantic Ocean","Pacific Ocean","Indian Ocean","Arctic Ocean","Pacific Ocean"
"The Ocean","What do whales breathe?","Water","Carbon dioxide","Air","Nitrogen","Air"
"The Ocean","What is a group of fish called?","Pack","Herd","School","Flock","School"
"The Ocean","Which ocean animal has eight arms?","Squid","Starfish","Octopus","Jellyfish","Octopus"
"The Ocean","What is the largest animal in the ocean?","Great White Shark","Blue Whale","Orca","Giant Squid","Blue Whale"
"The Ocean","What gives the ocean its blue color?","Salt","Fish","Light reflection","Seaweed","Light reflection"
"The Ocean","What do sea turtles eat?","Only fish","Jellyfish and seagrass","Only plants","Only crabs","Jellyfish and seagrass"
"The Ocean","Which fish is known for its bright orange and white stripes?","Goldfish","Clownfish","Angelfish","Tuna","Clownfish"
"Harry Potter","What is Harry Potter's pet owl named?","Scabbers","Hedwig","Crookshanks","Fang","Hedwig"
"Harry Potter","Which house is Harry Potter in?","Slytherin","Hufflepuff","Gryffindor","Ravenclaw","Gryffindor"
"Harry Potter","What position does Harry play in Quidditch?","Keeper","Beater","Chaser","Seeker","Seeker"
"Harry Potter","Who is Harry's best friend with red hair?","Neville","Draco","Ron","Dean","Ron"
"Harry Potter","What is the name of Harry's school?","Beauxbatons","Durmstrang","Ilvermorny","Hogwarts","Hogwarts"
"Harry Potter","What spell is used to make things float?","Expelliarmus","Lumos","Wingardium Leviosa","Expecto Patronum","Wingardium Leviosa"
"Harry Potter","Who is the headmaster of Hogwarts?","Snape","McGonagall","Dumbledore","Hagrid","Dumbledore"
"Harry Potter","What is Hermione's cat named?","Scabbers","Hedwig","Crookshanks","Fluffy","Crookshanks"
"Star Wars","What is Baby Yoda's real name?","Yoda","Grogu","Mando","Anakin","Grogu"
"Star Wars","What color is Luke Skywalker's first lightsaber?","Red","Green","Blue","Purple","Blue"
"Star Wars","Who is Darth Vader's son?","Han Solo","Luke Skywalker","Obi-Wan","Kylo Ren","Luke Skywalker"
"Star Wars","What is the name of Han Solo's ship?","X-Wing","TIE Fighter","Millennium Falcon","Star Destroyer","Millennium Falcon"
"Star Wars","What is the weapon used by Jedi called?","Blaster","Lightsaber","Laser sword","Force blade","Lightsaber"
"Star Wars","What species is Chewbacca?","Ewok","Jawa","Wookiee","Hutt","Wookiee"
"Star Wars","What side of the Force does Darth Vader use?","Light Side","Good Side","Dark Side","Gray Side","Dark Side"
"Star Wars","What do Stormtroopers wear?","Black uniforms","White armor","Red capes","Blue suits","White armor"